unique_id,timestamp,country,y_pred,y_proba,target_date,model_version,runtime
c4b04ac6-a7ce-4b29-a47f-71205dda3863,1604268616.142711,all,[311302.56673333],None,2019-11-14,0.1,000:00:04
6efa45bd-4f4f-4190-86fa-e2dc62889d99,1604269076.9526982,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
a40ec141-fb8c-4118-87ee-acacef81674a,1604269227.932103,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
0b635e96-b5bb-4e19-8595-d3961c10f654,1604270063.099114,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
7f23b6dc-f11d-42a2-b35e-c237ae6b9b26,1604270246.457022,all,[311302.56673333],None,2019-11-14,0.1,000:00:04
77eac9a9-9244-40f7-96bd-7d8bd42c96d9,1604270480.224131,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
b24009f6-0817-4e7e-8582-241d4db2fb1f,1604270756.907319,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
dbd69d3a-30fe-4e37-8d52-23900dcadde9,1604270843.261631,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
674da3a5-1cfa-4fbd-a0ad-9462a932f90d,1604271140.5723898,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
998c2506-7762-4914-9bc6-e8c5928fe6c1,1604271173.535733,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
8468264f-3b61-468e-a778-7252d620cd26,1604271871.858803,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
415a229c-b9d1-440b-8f75-3fdfff22e153,1604272034.8389702,all,[311302.56673333],None,2019-11-14,0.1,000:00:04
c37a12b8-2ce8-4c92-8e44-c0068324e694,1604272074.787801,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
a5633650-b9b9-4b03-9b6d-4481d9287826,1604272592.7790442,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
4c2c658d-9c9a-496d-93bb-0ef4ab1df40e,1604272857.504127,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
e88863f9-fe44-4f7b-8c6d-b7f50ca0b200,1604272983.3239949,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
b033c624-4a28-4f14-a1de-dda7f3cd74b3,1604273189.223459,all,[311302.56673333],None,2019-11-14,0.1,000:00:04
a6f57c1a-24ff-4fa3-8eb3-6df84f5602e2,1604273706.240502,all,[311302.56673333],None,2019-11-14,0.1,000:00:03
